koala_id,region,habitat,gender,age_in_years,Paw Size,total_length,head_length,ear_size,foot_length,skull_width,eye_diameter,chest_circumference,belly_circumference
63,5,QLD,f,6,18,76.5,17,11.3,14.1,11.4,2.2,60.5,53.5
64,5,QLD,f,3,18.5,77.5,21.9,10.1,13,11.5,4.1,60.5,58
65,5,QLD,f,5,18,76.5,18.5,6.7,,12.4,1,64,63.5
66,5,QLD,f,3,16.5,74,15.4,9.2,13.2,10.8,2.7,61.5,59
67,5,QLD,,,,,,,,,,62.5,54.5
68,5,QLD,m,5,18,76.5,19.1,8.1,15.9,11,4.4,62,55
69,5,QLD,m,5,17.5,76,23,10.6,15,10.6,2,63.5,59
70,5,QLD,f,7,18,75,16.9,9.1,15.4,11.4,0.5,62,59
71,5,Queenstown,m,6,20,78,17.8,7.8,15.7,12.6,2,62.5,59
72,5,QLD,m,1,15,68.5,10.9,7.4,12,7.4,1.1,60.5,55
73,5,QLD,m,1,16.5,70,7.5,9.7,15.7,7.3,3,58.5,53
74,6,QLD,f,4,18,71,13.7,10.9,11.5,7,1.7,61,59
75,6,QLD,m,6,18,77,18.8,10.6,16.2,13.1,3.9,61,58.5
76,6,QLD,m,5,21,77,17.4,11.4,14.5,11.8,4.8,61,
77,6,,m,6,16,72,18.6,7.9,12.8,11.2,3.2,60,60
78,6,QLD,m,1,16.5,69,110.5,9.3,13,6,0.7,58,53
79,6,QLD,m,1,16.5,69,10.8,8,12.8,5,1.8,57,53.5
80,6,QLD,m,1,18,72,11.7,9.8,12.3,7.6,2,58.5,55.5
81,6,QLD,m,3,18,73.5,15.6,6.7,15.6,11,4,62.5,60
82,6,QLD,f,4,16.5,70,11,7.9,10.7,9,2.4,61,57
83,6,QLD,f,3,16,69.5,15,8.3,12,8.8,1,60,54
84,6,QLD,,,,,,,,,,,
85,6,QLD,,,,,,,,,,,
86,6,QLD,f,3,18.5,74.5,13.2,8.7,10.3,8.2,0.6,61,56
87,7,QLD,m,2,21.5,81,23.5,11.8,21.7,15.7,2,61,61
88,7,QLD,f,2,18,75.5,14.6,8.5,16.7,13,3,60.5,56.5
89,7,QLD,m,6,15,72.5,22.7,11.2,14.4,,1.4,64,55.5
90,7,QLD,m,3,18.5,73,17.6,900.8,19.8,9.6,1.5,60.5,57.5
91,7,QLD,m,3,18,77,22.8,13,15.5,14.6,2,61,57
92,7,QLD,m,2,17,73,15.7,11.8,17.6,11.3,1.5,60.5,56
93,7,QLD,m,3,18,70,14.2,9.9,13.8,9,0.5,59,56
94,7,qld,m,7,15.5,72,16.8,10.1,14.2,12.6,1.4,64,60
95,7,QLD,m,4,17.5,76.5,16.6,10.4,14.5,11.6,1.9,62,56
96,7,QLD,m,4,18,71,19.8,12.7,16.5,10.7,1,60,58
97,7,QLD,m,3,18,74,16,11,13.8,8.1,1.5,60,56.5
98,7,QLD,m,5,15,72,18.2,9.3,15.6,23.6,1.5,63.5,57
99,7,QLD,f,3,18.5,74.5,18.3,8.8,14.8,11.2,1,63,60
100,7,QLD,m,1,16.5,69.5,14.5,11.8,16,11,1.8,58,52
101,7,q,m,1,19,70.5,13.6,13,14.4,9.7,1,60,58
102,7,QLD,f,6,18,77,17.4,10.4,13.5,10,0.6,60,55
103,7,QLD,m,4,16.5,70.5,16.5,10.9,12.9,10.2,2.4,60,54
104,7,QLD,f,3,20,77,18.6,11,17.6,14.9,1.8,63.5,58.5
105,1,VIC,f,6,18,80,18.2,17.2,26.1,12.1,2.2,63,59
106,1,VIC,f,2,16,73.5,16.5,18.2,21,11.3,2.1,63.5,58
107,1,,,,,,,,,,1.2,65,57
108,1,VIC,m,2,16,77.5,20.3,17,21.5,13.2,1.2,65,59.5
109,1,VIC,f,6,17,79,19.8,18.9,22.7,12.6,1.5,64,59
110,1,VIC,f,9,17,79.5,18.4,17.9,22.4,11.3,2.5,63,58
111,1,VIC,f,6,17.5,77.5,16.8,18.4,20.9,13,1.4,62.5,57
112,1,VIC,,,,,,,,,,,
113,1,VICtoria,f,5,15.5,80,19.9,16,21.7,10.6,2.3,63,58
114,1,VIC,m,5,16,77.5,20.1,14.8,21,14.9,2.8,62,57
115,1,VIC,m,3,16,79.5,20.4,18.7,24.3,12.6,2.1,63,56.5
116,1,VIC,m,5,14,73.5,17.9,16.8,19.7,120.6,2.7,63,60
117,1,VIC,m,4,14.5,74,16.6,16.4,23,11,1.4,63,57
118,1,VIC,f,1,16.5,77.5,19.7,18.2,23.2,22.7,1.7,64,56
119,1,VIC,m,2,16,78,18.5,20.4,23.7,10.7,2.3,63,57
120,1,VIC,f,5,15,78.5,19.4,18.9,23.4,10.4,2.2,63,57
121,1,VIC,f,4,18,77,19.8,17.4,23.8,11.3,2.5,62,61
122,1,Vic,f,3,19.5,84.5,20.9,17.9,27.9,13.1,1.2,65,65
123,1,VIC,m,3,19.5,79,21.3,17.1,23.5,13.5,3.2,63,61
124,1,VIC,f,4,16,77,17.5,18.3,22.8,11.1,2.4,63,60
125,1,VIC,m,2,14,72,19.4,18.5,25,9.9,3.2,62,57
126,1,VIC,m,3,15.5,79.5,20.8,16.6,22.3,13.5,1.9,66,60
127,1,VIC,m,7,16,78,21,21.2,23.6,14,2,64,63
128,1,VIC,f,2,15,73,15.5,15.8,20.3,9.5,1.2,58,53
129,1,VIC,m,4,14.5,75,18.8,18,23.2,11.8,2.3,62,55
130,1,VIC,f,3,15,76,17.8,16.8,24.9,11,1,59,57
131,1,VIC,f,2,13.5,72,17.1,15.8,20.6,9.4,1.5,59.5,58
132,1,VIC,m,3,17,81,17.8,17.5,18,9.1,1.5,62,56
133,1,VIC,f,4,19,82,19.3,17,24.8,11.7,1.9,63,59
134,1,VIC,m,3,17,77,16.4,16.8,20.8,9.6,1.8,59,55
135,2,VIC,m,2,16.5,73.5,15.6,18.1,23.1,10.7,1.4,61,53.5
136,2,VIC,m,4,15.5,73,19.4,20.5,21.2,12.9,3.4,63,60.5
137,2,VIC,m,7,15,76,18.3,17,24.3,14.3,1.9,60.5,61
138,2,VIC,f,2,15,70.5,14.3,17,21.2,9.8,0.8,63,56.5
139,2,VIC,m,7,15.5,68.5,17.4,14.5,18.4,11,2.9,62,55
140,2,VIC,f,1,14,63,9.7,18.4,18.7,6.5,0.5,60,50
141,2,VIC,f,3,16,72.5,16,16.4,22.8,10,0.8,62,55
142,2,VIC,f,5,16.5,71,13.4,5.3,,12,2.9,62,55.5
143,2,VIC,m,3,12,65,10.3,16.2,12.7,9.1,0.8,60.5,58
144,2,VIC,female,2,12,69,15,14.4,22,10.5,0.6,64,56
145,4,QLD,m,3,18,81.7,24.9,11.8,18.7,16.5,3.4,62.5,56.5
146,4,QLD,f,4,,81,20.1,10.3,17.2,14.4,1.5,66,64
147,4,QLD,m,3,19,79,19.5,110.4,16.5,19.2,1.4,65.5,58
148,4,QLD,m,2,20,84,27.5,9.5,23.2,17.8,1.7,67,61
149,4,QLD,f,2,19,76,16.3,12,13.1,12.7,1.4,61,55
150,5,QLD,m,7,18,74,20.7,,13.1,14,2,61.5,56
151,5,QLD,f,3,19,78.5,16.3,6.3,15.5,13,3,62,57
152,5,QLD,f,6,18,76.5,17,11.3,14.1,11.4,2.2,60.5,53.5
153,5,QLD,f,3,18.5,77.5,21.9,10.1,13,11.5,4.1,60.5,58
154,5,QLD,f,5,18,76.5,18.5,6.7,,12.4,1,64,63.5
155,5,QLD,f,3,16.5,74,15.4,9.2,13.2,10.8,2.7,61.5,59
156,5,QLD,m,4,16.5,73,18.3,9.1,14.7,12.6,3.5,62.5,
157,5,QLD,m,5,18,76.5,19.1,8.1,15.9,11,4.4,62,55
158,5,QLD,m,5,17.5,76,23,10.6,15,10.6,2,63.5,59
159,5,QLD,f,7,18,75,16.9,9.1,15.4,11.4,0.5,62,59
160,5,Queenstown,m,6,20,78,17.8,7.8,15.7,12.6,2,62.5,59
161,5,QLD,m,1,15,68.5,10.9,7.4,12,7.4,1.1,60.5,55
162,4,QLD,m,3,18,81.7,,11.8,18.7,16.5,3.4,62.5,56.5
163,4,QLD,f,4,21,81,20.1,10.3,17.2,14.4,1.5,66,
164,4,,m,3,19,79,19.5,110.4,16.5,19.2,,65.5,58
165,4,QLD,m,2,20,84,,9.5,23.2,17.8,1.7,67,61
166,4,QLD,f,2,19,76,16.3,12,13.1,12.7,1.4,61,55
167,5,,m,7,18,74,20.7,9.9,13.1,14,2,61.5,56
168,5,QLD,f,3,19,78.5,16.3,6.3,15.5,13,3,62,57
169,5,QLD,,6,18,76.5,17,11.3,14.1,11.4,2.2,60.5,53.5
