koala_id,region,habitat,gender,age_in_years,Paw Size,total_length,head_length,ear_size,foot_length,skull_width,eye_diameter,chest_circumference,belly_circumference
40,2.0,victoria,female,3.0,16.0,72.5,16.0,16.4,22.8,10.0,0.8,62.0,55.0
42,2.0,victoria,male,3.0,12.0,65.0,10.3,16.2,12.7,9.1,0.8,60.5,58.0
43,2.0,victoria,female,2.0,12.0,69.0,15.0,14.4,22.0,10.5,0.6,64.0,56.0
45,2.0,victoria,male,3.0,14.0,69.0,15.7,19.0,21.5,10.9,1.6,62.0,56.5
47,3.0,queensland,male,2.0,17.5,77.0,15.1,10.5,16.0,9.8,2.0,60.0,58.0
48,3.0,queensland,male,5.0,14.0,73.0,23.6,9.9,16.9,18.2,4.0,63.0,60.0
49,3.0,queensland,male,4.0,17.0,73.0,20.4,10.0,19.0,14.2,2.9,64.5,60.5
50,3.0,queensland,female,5.0,18.0,76.0,16.6,12.2,15.0,11.4,1.9,63.0,61.0
51,3.0,queensland,female,5.0,16.0,73.0,20.6,8.9,14.0,14.6,4.4,63.0,63.5
53,3.0,queensland,female,3.0,18.0,79.0,18.1,11.0,17.4,13.1,3.5,61.0,58.5
54,4.0,queensland,male,7.0,23.0,79.5,21.9,11.0,21.3,18.0,400.5,65.0,61.5
55,4.0,queensland,male,2.0,18.0,80.5,28.1,9.9,22.5,18.2,3.4,65.5,61.0
56,4.0,queensland,male,3.0,18.0,81.7,24.9,11.8,18.7,16.5,3.4,62.5,56.5
57,4.0,queensland,female,4.0,21.0,81.0,20.1,10.3,17.2,14.4,1.5,66.0,64.0
58,4.0,queensland,male,3.0,19.0,79.0,19.5,110.4,16.5,19.2,1.4,65.5,58.0
59,4.0,queensland,male,2.0,20.0,84.0,27.5,9.5,23.2,17.8,1.7,67.0,61.0
60,4.0,queensland,female,2.0,19.0,76.0,16.3,12.0,13.1,12.7,1.4,61.0,55.0
61,5.0,queensland,male,7.0,18.0,74.0,20.7,9.9,13.1,14.0,2.0,61.5,56.0
62,5.0,queensland,female,3.0,19.0,78.5,16.3,6.3,15.5,13.0,3.0,62.0,57.0
63,5.0,queensland,female,6.0,18.0,76.5,17.0,11.3,14.1,11.4,2.2,60.5,53.5
64,5.0,queensland,female,3.0,18.5,77.5,21.9,10.1,13.0,11.5,4.1,60.5,58.0
66,5.0,queensland,female,3.0,16.5,74.0,15.4,9.2,13.2,10.8,2.7,61.5,59.0
68,5.0,queensland,male,5.0,18.0,76.5,19.1,8.1,15.9,11.0,4.4,62.0,55.0
69,5.0,queensland,male,5.0,17.5,76.0,23.0,10.6,15.0,10.6,2.0,63.5,59.0
70,5.0,queensland,female,7.0,18.0,75.0,16.9,9.1,15.4,11.4,0.5,62.0,59.0
71,5.0,queensland,male,6.0,20.0,78.0,17.8,7.8,15.7,12.6,2.0,62.5,59.0
72,5.0,queensland,male,1.0,15.0,68.5,10.9,7.4,12.0,7.4,1.1,60.5,55.0
73,5.0,queensland,male,1.0,16.5,70.0,7.5,9.7,15.7,7.3,3.0,58.5,53.0
74,6.0,queensland,female,4.0,18.0,71.0,13.7,10.9,11.5,7.0,1.7,61.0,59.0
75,6.0,queensland,male,6.0,18.0,77.0,18.8,10.6,16.2,13.1,3.9,61.0,58.5
78,6.0,queensland,male,1.0,16.5,69.0,110.5,9.3,13.0,6.0,0.7,58.0,53.0
79,6.0,queensland,male,1.0,16.5,69.0,10.8,8.0,12.8,5.0,1.8,57.0,53.5
80,6.0,queensland,male,1.0,18.0,72.0,11.7,9.8,12.3,7.6,2.0,58.5,55.5
81,6.0,queensland,male,3.0,18.0,73.5,15.6,6.7,15.6,11.0,4.0,62.5,60.0
82,6.0,queensland,female,4.0,16.5,70.0,11.0,7.9,10.7,9.0,2.4,61.0,57.0
83,6.0,queensland,female,3.0,16.0,69.5,15.0,8.3,12.0,8.8,1.0,60.0,54.0
86,6.0,queensland,female,3.0,18.5,74.5,13.2,8.7,10.3,8.2,0.6,61.0,56.0
87,7.0,queensland,male,2.0,21.5,81.0,23.5,11.8,21.7,15.7,2.0,61.0,61.0
88,7.0,queensland,female,2.0,18.0,75.5,14.6,8.5,16.7,13.0,3.0,60.5,56.5
90,7.0,queensland,male,3.0,18.5,73.0,17.6,900.8,19.8,9.6,1.5,60.5,57.5
91,7.0,queensland,male,3.0,18.0,77.0,22.8,13.0,15.5,14.6,2.0,61.0,57.0
92,7.0,queensland,male,2.0,17.0,73.0,15.7,11.8,17.6,11.3,1.5,60.5,56.0
93,7.0,queensland,male,3.0,18.0,70.0,14.2,9.9,13.8,9.0,0.5,59.0,56.0
94,7.0,queensland,male,7.0,15.5,72.0,16.8,10.1,14.2,12.6,1.4,64.0,60.0
95,7.0,queensland,male,4.0,17.5,76.5,16.6,10.4,14.5,11.6,1.9,62.0,56.0
96,7.0,queensland,male,4.0,18.0,71.0,19.8,12.7,16.5,10.7,1.0,60.0,58.0
97,7.0,queensland,male,3.0,18.0,74.0,16.0,11.0,13.8,8.1,1.5,60.0,56.5
98,7.0,queensland,male,5.0,15.0,72.0,18.2,9.3,15.6,23.6,1.5,63.5,57.0
99,7.0,queensland,female,3.0,18.5,74.5,18.3,8.8,14.8,11.2,1.0,63.0,60.0
100,7.0,queensland,male,1.0,16.5,69.5,14.5,11.8,16.0,11.0,1.8,58.0,52.0
101,7.0,queensland,male,1.0,19.0,70.5,13.6,13.0,14.4,9.7,1.0,60.0,58.0
102,7.0,queensland,female,6.0,18.0,77.0,17.4,10.4,13.5,10.0,0.6,60.0,55.0
103,7.0,queensland,male,4.0,16.5,70.5,16.5,10.9,12.9,10.2,2.4,60.0,54.0
104,7.0,queensland,female,3.0,20.0,77.0,18.6,11.0,17.6,14.9,1.8,63.5,58.5
105,1.0,victoria,female,6.0,18.0,80.0,18.2,17.2,26.1,12.1,2.2,63.0,59.0
106,1.0,victoria,female,2.0,16.0,73.5,16.5,18.2,21.0,11.3,2.1,63.5,58.0
108,1.0,victoria,male,2.0,16.0,77.5,20.3,17.0,21.5,13.2,1.2,65.0,59.5
109,1.0,victoria,female,6.0,17.0,79.0,19.8,18.9,22.7,12.6,1.5,64.0,59.0
110,1.0,victoria,female,9.0,17.0,79.5,18.4,17.9,22.4,11.3,2.5,63.0,58.0
111,1.0,victoria,female,6.0,17.5,77.5,16.8,18.4,20.9,13.0,1.4,62.5,57.0
113,1.0,victoria,female,5.0,15.5,80.0,19.9,16.0,21.7,10.6,2.3,63.0,58.0
114,1.0,victoria,male,5.0,16.0,77.5,20.1,14.8,21.0,14.9,2.8,62.0,57.0
115,1.0,victoria,male,3.0,16.0,79.5,20.4,18.7,24.3,12.6,2.1,63.0,56.5
116,1.0,victoria,male,5.0,14.0,73.5,17.9,16.8,19.7,120.6,2.7,63.0,60.0
117,1.0,victoria,male,4.0,14.5,74.0,16.6,16.4,23.0,11.0,1.4,63.0,57.0
118,1.0,victoria,female,1.0,16.5,77.5,19.7,18.2,23.2,22.7,1.7,64.0,56.0
119,1.0,victoria,male,2.0,16.0,78.0,18.5,20.4,23.7,10.7,2.3,63.0,57.0
120,1.0,victoria,female,5.0,15.0,78.5,19.4,18.9,23.4,10.4,2.2,63.0,57.0
121,1.0,victoria,female,4.0,18.0,77.0,19.8,17.4,23.8,11.3,2.5,62.0,61.0
122,1.0,victoria,female,3.0,19.5,84.5,20.9,17.9,27.9,13.1,1.2,65.0,65.0
123,1.0,victoria,male,3.0,19.5,79.0,21.3,17.1,23.5,13.5,3.2,63.0,61.0
124,1.0,victoria,female,4.0,16.0,77.0,17.5,18.3,22.8,11.1,2.4,63.0,60.0
125,1.0,victoria,male,2.0,14.0,72.0,19.4,18.5,25.0,9.9,3.2,62.0,57.0
126,1.0,victoria,male,3.0,15.5,79.5,20.8,16.6,22.3,13.5,1.9,66.0,60.0
127,1.0,victoria,male,7.0,16.0,78.0,21.0,21.2,23.6,14.0,2.0,64.0,63.0
128,1.0,victoria,female,2.0,15.0,73.0,15.5,15.8,20.3,9.5,1.2,58.0,53.0
129,1.0,victoria,male,4.0,14.5,75.0,18.8,18.0,23.2,11.8,2.3,62.0,55.0
130,1.0,victoria,female,3.0,15.0,76.0,17.8,16.8,24.9,11.0,1.0,59.0,57.0
131,1.0,victoria,female,2.0,13.5,72.0,17.1,15.8,20.6,9.4,1.5,59.5,58.0
132,1.0,victoria,male,3.0,17.0,81.0,17.8,17.5,18.0,9.1,1.5,62.0,56.0
133,1.0,victoria,female,4.0,19.0,82.0,19.3,17.0,24.8,11.7,1.9,63.0,59.0
134,1.0,victoria,male,3.0,17.0,77.0,16.4,16.8,20.8,9.6,1.8,59.0,55.0
135,2.0,victoria,male,2.0,16.5,73.5,15.6,18.1,23.1,10.7,1.4,61.0,53.5
136,2.0,victoria,male,4.0,15.5,73.0,19.4,20.5,21.2,12.9,3.4,63.0,60.5
137,2.0,victoria,male,7.0,15.0,76.0,18.3,17.0,24.3,14.3,1.9,60.5,61.0
138,2.0,victoria,female,2.0,15.0,70.5,14.3,17.0,21.2,9.8,0.8,63.0,56.5
139,2.0,victoria,male,7.0,15.5,68.5,17.4,14.5,18.4,11.0,2.9,62.0,55.0
140,2.0,victoria,female,1.0,14.0,63.0,9.7,18.4,18.7,6.5,0.5,60.0,50.0
141,2.0,victoria,female,3.0,16.0,72.5,16.0,16.4,22.8,10.0,0.8,62.0,55.0
143,2.0,victoria,male,3.0,12.0,65.0,10.3,16.2,12.7,9.1,0.8,60.5,58.0
144,2.0,victoria,female,2.0,12.0,69.0,15.0,14.4,22.0,10.5,0.6,64.0,56.0
145,4.0,queensland,male,3.0,18.0,81.7,24.9,11.8,18.7,16.5,3.4,62.5,56.5
147,4.0,queensland,male,3.0,19.0,79.0,19.5,110.4,16.5,19.2,1.4,65.5,58.0
148,4.0,queensland,male,2.0,20.0,84.0,27.5,9.5,23.2,17.8,1.7,67.0,61.0
149,4.0,queensland,female,2.0,19.0,76.0,16.3,12.0,13.1,12.7,1.4,61.0,55.0
151,5.0,queensland,female,3.0,19.0,78.5,16.3,6.3,15.5,13.0,3.0,62.0,57.0
152,5.0,queensland,female,6.0,18.0,76.5,17.0,11.3,14.1,11.4,2.2,60.5,53.5
153,5.0,queensland,female,3.0,18.5,77.5,21.9,10.1,13.0,11.5,4.1,60.5,58.0
155,5.0,queensland,female,3.0,16.5,74.0,15.4,9.2,13.2,10.8,2.7,61.5,59.0
157,5.0,queensland,male,5.0,18.0,76.5,19.1,8.1,15.9,11.0,4.4,62.0,55.0
158,5.0,queensland,male,5.0,17.5,76.0,23.0,10.6,15.0,10.6,2.0,63.5,59.0
159,5.0,queensland,female,7.0,18.0,75.0,16.9,9.1,15.4,11.4,0.5,62.0,59.0
160,5.0,queensland,male,6.0,20.0,78.0,17.8,7.8,15.7,12.6,2.0,62.5,59.0
161,5.0,queensland,male,1.0,15.0,68.5,10.9,7.4,12.0,7.4,1.1,60.5,55.0
166,4.0,queensland,female,2.0,19.0,76.0,16.3,12.0,13.1,12.7,1.4,61.0,55.0
168,5.0,queensland,female,3.0,19.0,78.5,16.3,6.3,15.5,13.0,3.0,62.0,57.0
